taxid	uniprot_id	species_name	domain	scientific_name	kingdom	phylum	class	order	family	genus	species
7176	UP000002320	Culex quinquefasciatus	Eukaryota	Culex quinquefasciatus	k__Eukaryota	p__Arthropoda	c__Insecta	o__Diptera	f__Culicidae	g__Culex	s__Culex quinquefasciatus
717982	UP000006514	Auricularia subglabra (strain TFB-10046 / SS5)	Eukaryota	Auricularia subglabra TFB-10046 SS5	k__Eukaryota	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Auriculariaceae	g__Auricularia	s__Auricularia subglabra
7209	UP000095285	Loa loa	Eukaryota	Loa loa	k__Eukaryota	p__Nematoda	c__Chromadorea	o__Rhabditida	f__Onchocercidae	g__Loa	s__Loa loa
7217	UP000007801	Drosophila ananassae	Eukaryota	Drosophila ananassae	k__Eukaryota	p__Arthropoda	c__Insecta	o__Diptera	f__Drosophilidae	g__Drosophila	s__Drosophila ananassae
7222	UP000001070	Drosophila grimshawi	Eukaryota	Drosophila grimshawi	k__Eukaryota	p__Arthropoda	c__Insecta	o__Diptera	f__Drosophilidae	g__Drosophila	s__Drosophila grimshawi
7230	UP000009192	Drosophila mojavensis	Eukaryota	Drosophila mojavensis	k__Eukaryota	p__Arthropoda	c__Insecta	o__Diptera	f__Drosophilidae	g__Drosophila	s__Drosophila mojavensis
72359	UP000011185	Trachipleistophora hominis	Eukaryota	Trachipleistophora hominis	k__Eukaryota	p__Microsporidia	c__unclassified Microsporidia class	o__unclassified Microsporidia order	f__Pleistophoridae	g__Trachipleistophora	s__Trachipleistophora hominis
7244	UP000008792	Drosophila virilis	Eukaryota	Drosophila virilis	k__Eukaryota	p__Arthropoda	c__Insecta	o__Diptera	f__Drosophilidae	g__Drosophila	s__Drosophila virilis
7260	UP000007798	Drosophila willistoni	Eukaryota	Drosophila willistoni	k__Eukaryota	p__Arthropoda	c__Insecta	o__Diptera	f__Drosophilidae	g__Drosophila	s__Drosophila willistoni
7425	UP000002358	Nasonia vitripennis	Eukaryota	Nasonia vitripennis	k__Eukaryota	p__Arthropoda	c__Insecta	o__Hymenoptera	f__Pteromalidae	g__Nasonia	s__Nasonia vitripennis
747676	UP000001072	Melampsora larici-populina (strain 98AG31 / pathotype 3-4-7)	Eukaryota	Melampsora larici-populina 98AG31	k__Eukaryota	p__Basidiomycota	c__Pucciniomycetes	o__Pucciniales	f__Melampsoraceae	g__Melampsora	s__Melampsora laricis-populina
