raw_id	raw_id_type	mapped_graph_gene_id	mapped_canonical_gene_id	mapping_status	mapping_rule
FGRAMPH1_01G01433	ph1_gene_id	FGRAMPH1_01G01433	fgraminearum::FGRAMPH1_01G01433	resolved	exact_mainline_graph_id
FGRAMPH1_01G01445	ph1_gene_id	FGRAMPH1_01G01445	fgraminearum::FGRAMPH1_01G01445	resolved	exact_mainline_graph_id
FGRAMPH1_01G01447	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G01471	ph1_gene_id	FGRAMPH1_01G01471	fgraminearum::FGRAMPH1_01G01471	resolved	exact_mainline_graph_id
FGRAMPH1_01G01477	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G01513	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G01517	ph1_gene_id	FGRAMPH1_01G01517	fgraminearum::FGRAMPH1_01G01517	resolved	exact_mainline_graph_id
FGRAMPH1_01G01519	ph1_gene_id	FGRAMPH1_01G01519	fgraminearum::FGRAMPH1_01G01519	resolved	exact_mainline_graph_id
FGRAMPH1_01G01533	ph1_gene_id	FGRAMPH1_01G01533	fgraminearum::FGRAMPH1_01G01533	resolved	exact_mainline_graph_id
FGRAMPH1_01G01547	ph1_gene_id	FGRAMPH1_01G01547	fgraminearum::FGRAMPH1_01G01547	resolved	exact_mainline_graph_id
FGRAMPH1_01G01549	ph1_gene_id	FGRAMPH1_01G01549	fgraminearum::FGRAMPH1_01G01549	resolved	exact_mainline_graph_id
FGRAMPH1_01G01551	ph1_gene_id	FGRAMPH1_01G01551	fgraminearum::FGRAMPH1_01G01551	resolved	exact_mainline_graph_id
FGRAMPH1_01G01555	ph1_gene_id	FGRAMPH1_01G01555	fgraminearum::FGRAMPH1_01G01555	resolved	exact_mainline_graph_id
FGRAMPH1_01G01559	ph1_gene_id	FGRAMPH1_01G01559	fgraminearum::FGRAMPH1_01G01559	resolved	exact_mainline_graph_id
FGRAMPH1_01G01573	ph1_gene_id	FGRAMPH1_01G01573	fgraminearum::FGRAMPH1_01G01573	resolved	exact_mainline_graph_id
