raw_string_protein_id	alias_count	matched_aliases	mapped_gene_id	mapping_status	mapping_method	evidence
7227.FBpp0082040	39	FBgn0038017(Ensembl_flybase_gene_id); FBgn0038017(Ensembl_gene); FBgn0038017(UniProt_DR_FlyBase)	FBgn0038017	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082041	48			unmapped		KEGG_EC; UniProt_DE_RecName_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
7227.FBpp0082042	44			unmapped		KEGG_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING
7227.FBpp0082043	46			unmapped		KEGG_EC; UniProt_DE_RecName_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
7227.FBpp0082044	46	FBgn0010041(Ensembl_flybase_gene_id); FBgn0010041(Ensembl_gene); FBgn0010041(UniProt_DR_FlyBase)	FBgn0010041	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
7227.FBpp0082045	45			unmapped		KEGG_EC; UniProt_DE_RecName_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
7227.FBpp0082046	46			unmapped		KEGG_EC; UniProt_DE_RecName_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
7227.FBpp0082047	58			unmapped		UniProt_DE_SubName_EC; KEGG_EC; UniProt_DE_SubName_EC; Ensembl_EntrezGene; KEGG_GENEID
7227.FBpp0082055	42			unmapped		UniProt_DE_SubName_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING
7227.FBpp0082056	58			unmapped		KEGG_EC; UniProt_DE_RecName_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
7227.FBpp0082059	38			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082060	53			unmapped		KEGG_EC; KEGG_EC; UniProt_DE_AltName_EC; KEGG_EC; UniProt_DE_AltName_EC
