source_ref_db	source_locus	source_gene	essentiality	matched_gene_id	match_type	match_status
PomBase	SPAC23H4.15	tsr1	E	SPAC23H4.15.1:pep	locus_exact	matched
PomBase	SPAC23H4.18c	rbx1	E	SPAC23H4.18c.1:pep	locus_exact	matched
PomBase	SPAC24B11.11c	sid2	E	SPAC24B11.11c.1:pep	locus_exact	matched
PomBase	SPAC24C9.03	mvd1	E	SPAC24C9.03.1:pep	locus_exact	matched
PomBase	SPAC24C9.04	SPAC24C9.04	E	SPAC24C9.04.1:pep	locus_exact	matched
PomBase	SPAC24C9.06c	aco1	E	SPAC24C9.06c.1:pep	locus_exact	matched
PomBase	SPAC24C9.09	SPAC24C9.09	E	SPAC24C9.09.1:pep	locus_exact	matched
PomBase	SPAC24C9.10c	mrp4	E	SPAC24C9.10c.1:pep	locus_exact	matched
PomBase	SPAC24C9.11	sgd1	E	SPAC24C9.11.1:pep	locus_exact	matched
PomBase	SPAC24C9.13c	mrp10	E	SPAC24C9.13c.1:pep	locus_exact	matched
PomBase	SPAC24H6.01c	gup1	E	SPAC24H6.01c.1:pep	locus_exact	matched
PomBase	SPAC24H6.05	cdc25	E	SPAC24H6.05.1:pep	locus_exact	matched
PomBase	SPAC24H6.06	sld3	E	SPAC24H6.06.1:pep	locus_exact	matched
PomBase	SPAC24H6.12c	uba3	E	SPAC24H6.12c.1:pep	locus_exact	matched
PomBase	SPAC25B8.02	sds3	E	SPAC25B8.02.1:pep	locus_exact	matched
PomBase	SPAC25B8.06c	dia4	E	SPAC25B8.06c.1:pep	locus_exact	matched
PomBase	SPAC25B8.14	mal2	E	SPAC25B8.14.1:pep	locus_exact	matched
PomBase	SPAC25B8.16	pop100	E	SPAC25B8.16.1:pep	locus_exact	matched
PomBase	SPAC25G10.07c	cut7	E	SPAC25G10.07c.1:pep	locus_exact	matched
